,VB,VBG,VBN,VBZ,VBD,NN,NNP,RB,RBR,RBS,JJ,JJR,JJS,DT,PRP,IN,MD,NNS,WRB,CC,WP,PDT
64,succeed,embarking,contained,begins,planned,destroyer,Parker,So,,,probable,,,,,outside,,pockets,,,,
65,imagine,interesting,packed,happens,knew,collision,Sally,long,,,selfish,,,,,despite,,feelings,,,,
66,learn,reprimanding,died,plans,retreated,enemy,Let,totally,,,ex-boyfriend,,,,,whether,,examples,,,,
67,question,lacking,culminated,injects,continued,nothing,Shooney,though,,,much,,,,,bribes,,students,,,,
68,visit,attempting,treated,kills,sold,Gafoon,Father,agonizingly,,,scenic,,,,,Although,,convictions,,,,
69,pride,having,suspected,shows,picked,job,Whether,Still,,,nice,,,,,near,,opinions,,,,
70,locate,sailing,Encouraged,needs,finished,crew,Alice,already,,,drowned,,,,,For,,magna,,,,
71,check,complaining,wandered,arrives,put,knife,Person,actually,,,reckless,,,,,At,,attitudes,,,,
72,disembark,giving,Exasperated,realizes,found,cent,Slow,thus,,,pointless,,,,,onto,,expressions,,,,
73,explore,hardening,sought,resolves,watched,daughter,Washington,highly,,,potential,,,,,During,,smiles,,,,
74,return,humming,sailed,keeps,whipped,cellar,U.S,somewhat,,,actual,,,,,After,,chauvinists,,,,
75,stow,walking,arrived,stays,led,release,Woman,occasionally,,,active,,,,,Before,,studies,,,,
76,turn,flowing,desired,continues,seemed,musician,Marie,rarely,,,unaware,,,,,ago,,endeavors,,,,
77,give,saying,discovered,wins,overcharged,side-show,Lillsten,completely,,,own,,,,,beside,,months,,,,
78,face,consisting,disillusioned,lets,doubled,father,N.,Perhaps,,,beautiful,,,,,alongside,,hours,,,,
79,save,rushing,shaken,gives,read,officer,Y,else,,,calm,,,,,thru,,efforts,,,,
80,grant,portraying,destroyed,forgives,devised,suitcase,City,Not,,,brisk,,,,,argued,,Women,,,,
81,understand,imagining,shown,misses,came,bananas,Syracuse,home,,,only,,,,,within,,equals,,,,
82,wind,concentrating,reached,breaks,greeted,home,Y.,perhaps,,,saline,,,,,Despite,,drugs,,,,
83,avoid,remaining,accused,captures,proceeded,pet,Hard,rather,,,imminent,,,,,unlike,,terms,,,,
84,begin,becoming,handled,plays,gave,chimpanzee,Aunt,fairly,,,new,,,,,till,,rumors,,,,
85,Perchance,describing,advertised,requires,took,anything,Bertha,sincerely,,,text,,,,,,,resents,,,,
86,prevent,staring,underpaid,buys,performed,humane,Someone,deeply,,,liberated,,,,,,,others,,,,
87,work,sucking,supposed,lives,stood,president,Caesar,yet,,,well-known,,,,,,,decks,,,,
88,say,overlooking,given,likes,pipetted,line,Navy,still,,,such,,,,,,,records,,,,
89,resolve,waiting,gadded,sets,pictured,port,Naval,unfortunately,,,effective,,,,,,,miles,,,,
90,convince,knowing,quieted,ferry,asked,day,X,undoubtedly,,,convenient,,,,,,,directions,,,,
91,cheer,anticipating,distorted,contains,instructed,ticket,S.,naturally,,,fool-proof,,,,,,,Instructions,,,,
92,end,discovering,acquainted,tends,submitted,pier,Potter,therefore,,,1-,,,,,,,beliefs,,,,
93,walk,riding,drawn,suggests,followed,fine,Xis,severely,,,right,,,,,,,funnels,,,,
94,distinguish,thundering,taken,checks,started,husband,Queen,reluctantly,,,mysterious,,,,,,,factories,,,,
95,sit,worshipping,made,trusts,kept,wife,Greenwich,twice,,,short,,,,,,,men,,,,
96,tell,contemplating,dark,fears,studied,deal,Connecticut,broke,,,obituary,,,,,,,pasts,,,,
97,dream,formulating,wished,convinces,borrowed,love,Pright,illicitly,,,frightened,,,,,,,stories,,,,
98,stop,holding,protected,chats,married,woman,Class,reportedly,,,careful,,,,,,,circles,,,,
99,interpret,testing,interrupted,prides,occurred,edge,A,almost,,,necessary,,,,,,,calls,,,,
100,propose,challenging,contented,serves,docked,compulsion,B,nervously,,,hard,,,,,,,bastards,,,,
101,jump,making,eaten,likes/is,witnessed,though,Band,ago,,,panic,,,,,,,races,,,,
102,hold,plaguing,acknowledged,depends,fell,river,January,anyway,,,powerful,,,,,,,winds,,,,
103,prove,feeling,finished,hangs,crew,spring,Ah,recently,,,resistant,,,,,,,flakes,,,,
104,grab,spending,remained,decides,happened,life,Goodyear,however,,,infected,,,,,,,streets,,,,
105,recreate,debating,invented,worries,noticed,contentment,Kodak,here,,,whole,,,,,,,classes,,,,
106,kill,considering,crushed,writes,dropped,bench,Naomi,happily,,,all-powerful,,,,,,,conclusions,,,,
107,let,causing,mutilated,matters,lost,warm,Daniel,softly,,,all-destructive,,,,,,,attempts,,,,
108,confront,bawling,eased,prepares,tried,scene,Danny,Here,,,same,,,,,,,eyes,,,,
109,herself,stirring,failed,rationalizes,ballooned,water,London,practically,,,Russian,,,,,,,details,,,,
110,fight,figuring,occupied,reveals,sucked,beneath,Bridge,nearly,,,secret,,,,,,,beings,,,,
111,require,finding,fulfilled,disagrees,looked,ice,Frenchman,enough,,,independent,,,,,,,Hours,,,,
112,trust,smoking,chosen,agrees,realized,stone,Ms.,apprehensively,,,bitter,,,,,,,glances,,,,
113,concentrate,binding,cleared,Is,agreed,bridge,Gray,seriously,,,envious,,,,,,,tensions,,,,
114,possess,quibbling,approached,@,paled,talk,Switzerland,fuschia,,,well-rounded,,,,,,,arms,,,,
115,embark,spanning,blown,wonders,arched,awhile,Hmmm,closely,,,important,,,,,,,researchers,,,,
116,skipper,reflecting,gotten,meets,suggested,jail,Josephine,sisterly,,,repressed,,,,,,,partners,,,,
117,attract,employing,engaged,marries,saw,prison,Madame,slowly,,,perpetual,,,,,,,doubts,,,,
118,inspect,daydreaming,called,resents,ended,yesterday,Russian,surely,,,Other,,,,,,,tubes,,,,
119,win,taking,diagnosed,believes,called,apartment,Soviet,Instead,,,inappropriate,,,,,,,sisters,,,,
120,cross,beginning,informed,grows,climbed,way,Union,certainly,,,cum,,,,,,,chemists,,,,
121,try,blending,dwindled,gazes,meant,companionship,Spartacus,strictly,,,free,,,,,,,associations,,,,
122,rescue,impressing,caused,sunbathe,sighed,time,South,desperately,,,open,,,,,,,experiments,,,,
123,buy,fantasizing,disappeared,explains,resigned,Today,France,increasingly,,,lonely,,,,,,,horses,,,,
124,foment,engaging,reborn,fixes,surprised,walk,English,necessarily,,,facial,,,,,,,rings,,,,
125,dislike,showing,fixed,loves,slipped,opportunity,Channel,nevertheless,,,clear,,,,,,,noses,,,,
126,throw,leaning,discussed,tries,scolded,future,French,bodily,,,monotonous,,,,,,,hooves,,,,
127,embarrass,running,disappointed,sketches,announced,process,Board,up,,,total,,,,,,,motives,,,,
128,smile,supervising,needed,sounds,listened,murder,Quarantine,extremely,,,unacceptable,,,,,,,technicians,,,,
129,disobey,mixing,sat,acts,spotted,killer,Antarctica,inexpensively,,,proper,,,,,,,grimly,,,,
130,put,Nothing,dressed,observes,stopped,womanhater,Alaska,instead,,,high,,,,,,,happens,,,,
131,ship,wondering,seated,perverts,experienced,matter,Laurie,initially,,,fresh,,,,,,,lips,,,,
132,maneuver,curing,arrested,catches,uncovered,kind,Linda,lonely,,,clean,,,,,,,colleagues,,,,
133,store,noting,delighted,understands,trusted,person,Life,passively,,,academic,,,,,,,interests,,,,
134,send,Having,set,stops,spent,personality,Cal,around,,,financial,,,,,,,energies,,,,
135,mere,checking,placed,fires,weeded,fact,Revolution,especially,,,biological,,,,,,,predictions,,,,
136,patch,developing,equipped,contacts,mowed,something,St.,approximately,,,mere,,,,,,,improvements,,,,
137,discuss,leading,written,quits,raked,fall,Petersburg,inside,,,daily,,,,,,,ethics,,,,
138,yield,following,had,remains,aged,winter,Lenin,off,,,particular,,,,,,,bunches,,,,
139,survive,dictating,noted,settles,was/is,childhood,Moscow,exactly,,,tedious,,,,,,,adventures,,,,
140,proposition,completing,grasped,pursues,ran,recollection,KGB,critically,,,local,,,,,,,prices,,,,
141,wed,blocking,devoted,wanders,booked,laugh,Damocles,hopefully,,,forceful,,,,,,,vessels,,,,
142,seem,smuggling,recognized,offers,taught,town,Evel,Yet,,,uncertain,,,,,,,meals,,,,
143,fall,meeting,begun,sends,prepared,playground,Knieval,diabolically,,,anonymous,,,,,,,articles,,,,
144,collect,paying,fertilized,dies,appeared,city,Jean,maybe,,,several,,,,,,,disagrees,,,,
145,slide,demanding,wasted,remembers,rushed,move,Pierre,ahead,,,little,,,,,,,ranks,,,,
146,talk,designing,heated,,waited,girl,Au,apparently,,,uncooperative,,,,,,,crewmen,,,,
147,prepare,missing,met,,repressed,hand,Whereupon,satisfactorily,,,disappointed,,,,,,,regulations,,,,
148,show,planning,explained,,frustrated,relationship,Miss,bit,,,skeptical,,,,,,,climates,,,,
149,laugh,purchasing,suggested,,swung,light,Knowles,shortly,,,excellent,,,,,,,occasions,,,,
150,choke,parting,loaded,,loved,conflict,Mrs.,Ultimately,,,promising,,,,,,,differences,,,,
151,break,enjoying,released,,wrote,support,White,late,,,unable,,,,,,,foundations,,,,
152,stem,Talking,topped,,liked,creep,LaDean,unfinished,,,unfortunate,,,,,,,trend-setters,,,,
153,inoculate,awaiting,elected,,needed,side,Anna,Shortly,,,crazy,,,,,,,legislators,,,,
154,grow,concocting,occurred,,used,mind,Mme,underway,,,lunatic,,,,,,,rivers,,,,
155,inject,seeking,become,,,feeling,C.,Often,,,ten,,,,,,,families,,,,
156,lose,affecting,followed,,,animation,C,first,,,visited,,,,,,,alternatives,,,,
157,stand,analyzing,bitten,,,sincerity,Queeg,Now,,,curious,,,,,,,desires,,,,
158,watch,nearing,trapped,,,disinterest,Humphrey,partly,,,unhappy,,,,,,,paths,,,,
159,repeat,surviving,bored,,,bit,Bogart,hard,,,liberal,,,,,,,ideas,,,,
160,preform,staying,located,,,splash,George,Then,,,doubtful,,,,,,,tales,,,,
161,perform,traveling,fallen,,,seaweed,Stepford,Happily,,,political,,,,,,,abilities,,,,
162,occur,practicing,accomplished,,,tugboat,Wives,forward,,,bad,,,,,,,appeals,,,,
163,need,boring,stained,,,homey,Kenner,Eventually,,,poor,,,,,,,instincts,,,,
164,provide,falling,stolen,,,quaint,President,sternly,,,officious,,,,,,,heads,,,,
165,roll,convincing,annoyed,,,pollution,Lewis,yard,,,former,,,,,,,stays,,,,
166,wait,reaching,lost,,,year,Zelda,Sometimes,,,unique,,,,,,,rights,,,,
167,arrive,living,put,,,regatta,M.I.T,close,,,patient,,,,,,,millions,,,,
168,iron,adjusting,pleased,,,university,Stephen,Almost,,,impatient,,,,,,,X,,,,
169,change,learning,planned,,,get,Sarah,fast,,,commercial,,,,,,,Afterwards,,,,
170,reassess,feeding,removed,,,occasion,Curie,hardly,,,present,,,,,,,germs,,,,
171,start,investigating,distracted,,,film,Blavatsky,As,,,polish,,,,,,,contents,,,,
172,produce,using,designed,,,festival,Gwen,Too,,,nation-wide,,,,,,,shows,,,,
173,microwave,pouring,rejected,,,midst,Gail,Even,,,reasonable,,,,,,,spills,,,,
174,wish,moving,grown,,,battle,Wayne,pretty,,,possible,,,,,,,fingers,,,,
175,remember,approaching,settled,,,agent,Sheila,apart,,,shoe,,,,,,,breaks,,,,
176,reject,answering,talked,,,member,Jane,Maybe,,,clerical,,,,,,,pieces,,,,
177,move,playing,managed,,,party,Harry,often,,,mad,,,,,,,runs,,,,
178,relax,drafting,walked,,,brother,Mickey,Together,,,stubborn,,,,,,,solutions,,,,
179,enjoy,pushing,surprised,,,labor,Egypt,carefully,,,obstinate,,,,,,,rounds,,,,
180,test,Pushing,expected,,,activist,U.S.A,possibly,,,connectionless,,,,,,,measurements,,,,
181,volunteer,pedaling,realized,,,government,Atlantis,anywhere,,,aware,,,,,,,graphics,,,,
182,alleviate,shivering,tenured,,,work,Meg,Recently,,,fictitious,,,,,,,tones,,,,
183,forget,handling,identified,,,espionage,Dad,relaxed,,,immaterial,,,,,,,precipitates,,,,
184,catch,dealing,dedicated,,,bug,California,methodically,,,big,,,,,,,watches,,,,
185,miss,healing,checked,,,college,Big,amicably,,,far-away,,,,,,,conditions,,,,
186,place,Becoming,won,,,marriage,Sur,further,,,exotic,,,,,,,proportions,,,,
187,stay,training,tempted,,,away,Sly,perfectly,,,solid,,,,,,,babies,,,,
188,own,flying,rewarded,,,schoolwork,Rancraft,rapidly,,,sweep,,,,,,,hinges,,,,
189,train,soaring,attached,,,sure,India,pleasantly,,,girl,,,,,,,subjects,,,,
190,lead,pulling,afraid,,,air,Police,Meanwhile,,,cold,,,,,,,materials,,,,
191,persuade,interviewing,practiced,,,world,Haver,smoothly,,,solitary,,,,,,,steps,,,,
192,appear,receiving,preferred,,,sight,Vineward,sometimes,,,ordinary,,,,,,,commands,,,,
193,ride,strolling,spirited,,,laboratory,Vineyard,better,,,real,,,,,,,mistakes,,,,
194,adapt,presenting,cut,,,science,Haven,relatively,,,pertinent,,,,,,,owners,,,,
195,pick,breaking,spoken,,,solution,Labor,silly,,,afraid,,,,,,,expectations,,,,
196,protest,calling,excited,,,stock,Day,professionally,,,blustery,,,,,,,bearings,,,,
197,emphasize,keeping,entered,,,doubt,Falmouth,intently,,,constitutional,,,,,,,ways,,,,
198,unload,sliding,granted,,,research,Maine,strongly,,,fair,,,,,,,items,,,,
199,marry,photographing,worked,,,importance,P.M.,grimly,,,excess,,,,,,,priorities,,,,
200,wander,vacationing,lived,,,groundwork,Mayor,particularly,,,ah,,,,,,,concerns,,,,
201,reflect,outing,phoned,,,breakthrough,Tisbury,before,,,strange,,,,,,,products,,,,
202,redo,pointing,broken,,,virus,Museum,outside,,,usual,,,,,,,toys,,,,
203,believe,flowering,liked,,,experiment,Old,awkwardly,,,quiet,,,,,,,models,,,,
204,mention,blooming,respected,,,concentration,Prince,nonetheless,,,routine,,,,,,,fails,,,,
205,pack,embezzling,covered,,,movement,God,bald,,,rare,,,,,,,suffers,,,,
206,sell,adding,hired,,,field,Laurel,usually,,,friendly,,,,,,,thoughts,,,,
207,soothe,devastating,sacrificed,,,birth,Bald,all,,,further,,,,,,,waits,,,,
208,Let,listening,scrimped,,,control,Gladys,Very,,,impersonal,,,,,,,wishes,,,,
209,rob,speaking,advised,,,knowledge,Victor,forever,,,self-possessed,,,,,,,responsibilities,,,,
210,Remember,splitting,entitled,,,contraceptive,Fartheum,financially,,,distasteful,,,,,,,jobs,,,,
211,snuck,reporting,published,,,form,Scott,gradually,,,sad,,,,,,,tickets,,,,
212,assign,acting,spotted,,,project,Michelle,along,,,harsh,,,,,,,advances,,,,
213,science,testifying,ended,,,formula,Pennsylvania,sometime,,,unexplainable,,,,,,,hearts,,,,
214,enable,dating,adjusted,,,disease,Remember,couple-probably,,,inner,,,,,,,doors,,,,
215,cure,marketing,weathered,,,land,Vermont,essentially,,,understanding,,,,,,,hassles,,,,
216,finish,sharing,heard,,,breath,Costa,equally,,,unsuspecting,,,,,,,employees,,,,
217,decide,helping,suggest,,,cure,Brava,closer,,,Funny,,,,,,,specimens,,,,
218,encounter,cooperating,nested,,,isolation,Row,considerably,,,content,,,,,,,remedies,,,,
219,fit,raking,embezzled,,,patience,Helene,inadvertently,,,ready,,,,,,,performers,,,,
220,terra,starting,used,,,rest,Friday,greatly,,,small,,,,,,,shots,,,,
221,somehow,putting,ignored,,,dying,Carol,forth,,,few,,,,,,,upstairs,,,,
222,swallow,wanting,read,,,spread,December,regularly,,,excited,,,,,,,acrobatics,,,,
223,worry,resisting,persisted,,,infection,Ted,Totally,,,dark,,,,,,,skills,,,,
224,separate,Cooperating,stood,,,treatment,Chrono,anymore,,,green,,,,,,,requirements,,,,
225,drag,cleaning,conveyed,,,hope,Chris,,,,OK,,,,,,,fairgrounds,,,,
226,force,balding,convicted,,,desperation,Lisa,,,,quick,,,,,,,acrobats,,,,
227,resign,leaking,learned,,,end,Thistle,,,,ill,,,,,,,gymnastics,,,,
228,next,chasing,mowed,,,germ,Gus,,,,poisonous,,,,,,,newcomers,,,,
229,call,opening,trimmed,,,lab,Oh,,,,private,,,,,,,stallions,,,,
230,colleague,loving,argued,,,scientist,Freeholder,,,,trained,,,,,,,flowers,,,,
231,expect,building,prevailed,,,spy,Director,,,,medical,,,,,,,hopes,,,,
232,contribute,changing,detained,,,substance,Welfare,,,,unknown,,,,,,,talents,,,,
233,complete,facing,feared,,,supply,Beth,,,,synthetic,,,,,,,movies,,,,
234,reach,ending,hidden,,,chaos,Management,,,,helpful,,,,,,,stables,,,,
235,stave,beaming,torn,,,situation,Susan,,,,compatible,,,,,,,feels,,,,
236,manage,searching,emerged,,,takeover,Tait,,,,possessive,,,,,,,politics,,,,
237,realize,stopping,established,,,intelligent,Jason,,,,non-toxic,,,,,,,complexities,,,,
238,hospital,replicating,waited,,,type,Robinson,,,,non-alcoholic,,,,,,,deduces,,,,
239,please,swing,Fred,,,left,NE,,,,dangerous,,,,,,,springs,,,,
240,got,stunning,struck,,,family,Husband-wife,,,,national,,,,,,,weeks,,,,
241,hatch,modelling,entranced,,,leader,Saturday,,,,white,,,,,,,suitcases,,,,
242,photograph,writing,paid,,,position,North,,,,imaginable,,,,,,,lines,,,,
243,adjourn,swinging,studied,,,right,Carolina,,,,senior,,,,,,,cars,,,,
244,Be,Spinning,saved,,,grudge,Adams,,,,reluctant,,,,,,,cops,,,,
245,regard,crashing,dreamed,,,finesse,March,,,,hard-earned,,,,,,,shirts,,,,
246,point,flirting,quit,,,lot,Perrin,,,,certain,,,,,,,shutters,,,,
247,testify,rehearsing,relented,,,bitterness,Nantucket,,,,crucial,,,,,,,sits,,,,
248,prevail,applauding,brought,,,case,May,,,,tense,,,,,,,situations,,,,
249,argue,rolling,killed,,,somebody,U.N.,,,,present-day,,,,,,,ones,,,,
250,support,hearing,Thrilled,,,share,El,,,,mutual,,,,,,,drawings,,,,
251,add,wandering,reunited,,,chemist,Salvador,,,,intent,,,,,,,specifications,,,,
252,speak,,tied,,,housewife,Jeanne,,,,Western,,,,,,,kids,,,,
253,quote,,driven,,,laude,Fitzpatrick,,,,normal,,,,,,,sales,,,,
254,negotiate,,completed,,,school,Baltic,,,,likely,,,,,,,baths,,,,
255,resist,,let,,,today,Kremlin,,,,everyday,,,,,,,sores,,,,
256,mind,,dropped,,,opposition,S,,,,unmarried-unattached,,,,,,,floors,,,,
257,convey,,endowed,,,ridicule,L,,,,unimportant,,,,,,,anchovies,,,,
258,seize,,,,,society,October,,,,similar,,,,,,,areas,,,,
259,deposit,,,,,dedication,Mum,,,,complete,,,,,,,benches,,,,
260,set,,,,,lack,GS,,,,interested,,,,,,,words,,,,
261,delay,,,,,ghetto,Gentle,,,,dire,,,,,,,distractions,,,,
262,cook,,,,,generosity,August,,,,able,,,,,,,birds,,,,
263,wash,,,,,aunt,Satisfied,,,,successful,,,,,,,holidays,,,,
264,Use,,,,,education,Luxury,,,,maiden,,,,,,,Things,,,,
265,design,,,,,scent,Cat,,,,proud,,,,,,,issues,,,,
266,school-college,,,,,success,China,,,,civilian,,,,,,,professors,,,,
267,build,,,,,goal,Seas,,,,beneficial,,,,,,,diseases,,,,
268,surprise,,,,,researcher,Falcon,,,,philosophical,,,,,,,dogs,,,,
269,picture,,,,,mom,Bill,,,,minor,,,,,,,ten,,,,
270,blackmail,,,,,cancer,Sydney,,,,irate,,,,,,,vials,,,,
271,threaten,,,,,absence,Kangaroo,,,,naval,,,,,,,individuals,,,,
272,dishonest,,,,,epitome,Lady,,,,desperate,,,,,,,feet,,,,
273,embezzle,,,,,picture,Nuclear,,,,sympathetic,,,,,,,fears,,,,
274,cover,,,,,point,Plant,,,,ocean,,,,,,,feats,,,,
275,meet,,,,,text,Janet,,,,outrageous,,,,,,,artists,,,,
276,happen,,,,,description,Fred,,,,admiral,,,,,,,hills,,,,
277,ear,,,,,liberation,Harvard,,,,expose,,,,,,,tours,,,,
278,sabotage,,,,,thing,Radcliffe,,,,unpleasant,,,,,,,rides,,,,
279,alter,,,,,country,Art,,,,navy,,,,,,,demonstrations,,,,
280,girl,,,,,influence,History,,,,unprintable,,,,,,,jaunts,,,,
281,feed,,,,,chore,MIT,,,,public,,,,,,,bushes,,,,
282,dampen,,,,,respect,Professor,,,,previous,,,,,,,meetings,,,,
283,play,,,,,police,AIDS,,,,self-satisfied,,,,,,,sides,,,,
284,hug,,,,,phone,Faye,,,,furious,,,,,,,duties,,,,
285,,,,,,call,Supple,,,,French,,,,,,,yes,,,,
286,,,,,,questioning,Budapest,,,,practical,,,,,,,Wants,,,,
287,,,,,,enmity,Kracow,,,,Japanese,,,,,,,sources,,,,
288,,,,,,son,Sofia,,,,Antarctic,,,,,,,excuses,,,,
289,,,,,,ensign,Tokaiazii,,,,expensive,,,,,,,bars,,,,
290,,,,,,show,Rochester,,,,realistic,,,,,,,bannisters,,,,
291,,,,,,business,Miami,,,,anxious,,,,,,,superiors,,,,
292,,,,,,career,Ireland,,,,unsafe,,,,,,,sniffles,,,,
293,,,,,,pride,Gentlemen,,,,constant,,,,,,,minutes,,,,
294,,,,,,skipper,Maharani,,,,low,,,,,,,affairs,,,,
295,,,,,,attitude,Northern,,,,hostile,,,,,,,pictures,,,,
296,,,,,,skepticism,Clydesdales,,,,inadequate,,,,,,,specimen,,,,
