,Input Sentence,Tokenizer,POS,Great Filter,POW,ACH,AFF,Unnamed
10,"The captain is telling the smuggler he will have the book thrown at him, while the smuggler protests his innocence.
","['The', 'captain', 'is', 'telling', 'the', 'smuggler', 'he', 'will', 'have', 'the', 'book', 'thrown', 'at', 'him', ',', 'while', 'the', 'smuggler', 'protests', 'his', 'innocence', '.']","['DT', 'NN', 'VBZ', 'VBG', 'DT', 'NN', 'PRP', 'MD', 'VB', 'DT', 'NN', 'VBN', 'IN', 'PRP', ',', 'IN', 'DT', 'NN', 'VBZ', 'PRP$', 'NN', '.']",Pass,yes,no,no,
11,"Captain Jones of the U.S.S.
","['Captain', 'Jones', 'of', 'the', 'U.S.S', '.']","['NNP', 'NNP', 'IN', 'DT', 'NNP', '.']",Removed,no,no,no,
12,"United States is explaining ship procedures to Mr. J. W. Matthews, a businessman going to England.
","['United', 'States', 'is', 'explaining', 'ship', 'procedures', 'to', 'Mr.', 'J.', 'W.', 'Matthews', ',', 'a', 'businessman', 'going', 'to', 'England', '.']","['NNP', 'NNPS', 'VBZ', 'VBG', 'NN', 'NNS', 'TO', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'DT', 'NN', 'VBG', 'TO', 'NNP', '.']",Pass,no,no,no,
13,"Mr. Matthews has no confidence in ships and in the past has refused to sail them.
","['Mr.', 'Matthews', 'has', 'no', 'confidence', 'in', 'ships', 'and', 'in', 'the', 'past', 'has', 'refused', 'to', 'sail', 'them', '.']","['NNP', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'NNS', 'CC', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'PRP', '.']",Pass,no,no,no,
14,"So the captain's explaining the safety factors.
","['So', 'the', 'captain', ""'s"", 'explaining', 'the', 'safety', 'factors', '.']","['IN', 'DT', 'NN', 'POS', 'VBG', 'DT', 'NN', 'NNS', '.']",Pass,no,no,no,
15,"Mr. Matthews is not too sure about the ship, and he wants to gain confidence in ships.
","['Mr.', 'Matthews', 'is', 'not', 'too', 'sure', 'about', 'the', 'ship', ',', 'and', 'he', 'wants', 'to', 'gain', 'confidence', 'in', 'ships', '.']","['NNP', 'NNP', 'VBZ', 'RB', 'RB', 'JJ', 'IN', 'DT', 'NN', ',', 'CC', 'PRP', 'VBZ', 'TO', 'VB', 'NN', 'IN', 'NNS', '.']",Pass,no,no,no,
16,"Mr. Matthews has a safe trip and reaches England.
","['Mr.', 'Matthews', 'has', 'a', 'safe', 'trip', 'and', 'reaches', 'England', '.']","['NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'CC', 'NNS', 'NNP', '.']",Pass,no,no,no,
17,"A famous European pianist is a passenger on the ship which has just docked in America from Europe.
","['A', 'famous', 'European', 'pianist', 'is', 'a', 'passenger', 'on', 'the', 'ship', 'which', 'has', 'just', 'docked', 'in', 'America', 'from', 'Europe', '.']","['DT', 'JJ', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'WDT', 'VBZ', 'RB', 'VBN', 'IN', 'NNP', 'IN', 'NNP', '.']",Pass,yes,no,no,
18,"A passenger is trying to get an interview with him before visitors are legally admitted on the ship.
","['A', 'passenger', 'is', 'trying', 'to', 'get', 'an', 'interview', 'with', 'him', 'before', 'visitors', 'are', 'legally', 'admitted', 'on', 'the', 'ship', '.']","['DT', 'NN', 'VBZ', 'VBG', 'TO', 'VB', 'DT', 'NN', 'IN', 'PRP', 'IN', 'NNS', 'VBP', 'RB', 'VBN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
19,"Therefore he is arguing with the captain.
","['Therefore', 'he', 'is', 'arguing', 'with', 'the', 'captain', '.']","['RB', 'PRP', 'VBZ', 'VBG', 'IN', 'DT', 'NN', '.']",Pass,yes,no,no,
20,"The reporter would like to scoop his rival papers.
","['The', 'reporter', 'would', 'like', 'to', 'scoop', 'his', 'rival', 'papers', '.']","['DT', 'NN', 'MD', 'VB', 'TO', 'VB', 'PRP$', 'NN', 'NNS', '.']",Pass,no,yes,no,
21,"The captain is hesitant since he has been instructed to allow no one on board.
","['The', 'captain', 'is', 'hesitant', 'since', 'he', 'has', 'been', 'instructed', 'to', 'allow', 'no', 'one', 'on', 'board', '.']","['DT', 'NN', 'VBZ', 'JJ', 'IN', 'PRP', 'VBZ', 'VBN', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'NN', '.']",Pass,no,no,no,
22,"The captain will finally accept a monetary bribe and the reporter will get his interview.
","['The', 'captain', 'will', 'finally', 'accept', 'a', 'monetary', 'bribe', 'and', 'the', 'reporter', 'will', 'get', 'his', 'interview', '.']","['DT', 'NN', 'MD', 'RB', 'VB', 'DT', 'JJ', 'NN', 'CC', 'DT', 'NN', 'MD', 'VB', 'PRP$', 'NN', '.']",Pass,yes,no,no,
23,"The man in uniform is captain of the boat.
","['The', 'man', 'in', 'uniform', 'is', 'captain', 'of', 'the', 'boat', '.']","['DT', 'NN', 'IN', 'NN', 'VBZ', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
24,"He is greeting the other man who has just boarded the boat.
","['He', 'is', 'greeting', 'the', 'other', 'man', 'who', 'has', 'just', 'boarded', 'the', 'boat', '.']","['PRP', 'VBZ', 'VBG', 'DT', 'JJ', 'NN', 'WP', 'VBZ', 'RB', 'VBN', 'DT', 'NN', '.']",Pass,no,no,no,
25,"The second man is a pilot to guide the boat into the harbor.
","['The', 'second', 'man', 'is', 'a', 'pilot', 'to', 'guide', 'the', 'boat', 'into', 'the', 'harbor', '.']","['DT', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
26,"The slightly anguished look on the captain's face is because he is late in arriving due to a severe hurricane which he encountered at sea.
","['The', 'slightly', 'anguished', 'look', 'on', 'the', 'captain', ""'s"", 'face', 'is', 'because', 'he', 'is', 'late', 'in', 'arriving', 'due', 'to', 'a', 'severe', 'hurricane', 'which', 'he', 'encountered', 'at', 'sea', '.']","['DT', 'RB', 'VBN', 'NN', 'IN', 'DT', 'NN', 'POS', 'NN', 'VBZ', 'IN', 'PRP', 'VBZ', 'JJ', 'IN', 'VBG', 'JJ', 'TO', 'DT', 'JJ', 'NN', 'WDT', 'PRP', 'VBD', 'IN', 'NN', '.']",Pass,no,no,no,
27,"He has been up for two days straight guiding the boat trying to find the calmest waters.
","['He', 'has', 'been', 'up', 'for', 'two', 'days', 'straight', 'guiding', 'the', 'boat', 'trying', 'to', 'find', 'the', 'calmest', 'waters', '.']","['PRP', 'VBZ', 'VBN', 'RP', 'IN', 'CD', 'NNS', 'VBD', 'VBG', 'DT', 'NN', 'VBG', 'TO', 'VB', 'DT', 'JJS', 'NNS', '.']",Pass,no,no,no,
28,"The captain is tired; he wants to leave the crowds.
","['The', 'captain', 'is', 'tired', ';', 'he', 'wants', 'to', 'leave', 'the', 'crowds', '.']","['DT', 'NN', 'VBZ', 'VBN', ':', 'PRP', 'VBZ', 'TO', 'VB', 'DT', 'NN', '.']",Pass,he wants to leave the crowds.,no,no,no
29,"The pilot will come on and as soon as they dock the captain will retire and get some sleep.
","['The', 'pilot', 'will', 'come', 'on', 'and', 'as', 'soon', 'as', 'they', 'dock', 'the', 'captain', 'will', 'retire', 'and', 'get', 'some', 'sleep', '.']","['DT', 'NN', 'MD', 'VB', 'IN', 'CC', 'RB', 'RB', 'IN', 'PRP', 'VBP', 'DT', 'NN', 'MD', 'VB', 'CC', 'VB', 'DT', 'NN', '.']",Pass,no,no,no,
30,"One man is the captain of a large luxury vessel; the other is a businessman who frequently travels the route.
","['One', 'man', 'is', 'the', 'captain', 'of', 'a', 'large', 'luxury', 'vessel', ';', 'the', 'other', 'is', 'a', 'businessman', 'who', 'frequently', 'travels', 'the', 'route', '.']","['CD', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', ':', 'DT', 'JJ', 'VBZ', 'DT', 'NN', 'WP', 'RB', 'VBZ', 'DT', 'NN', '.']",Pass,the other is a businessman who frequently travels the route.,no,no,no
31,"The two are old acquaintances.
","['The', 'two', 'are', 'old', 'acquaintances', '.']","['DT', 'CD', 'VBP', 'JJ', 'NNS', '.']",Removed,no,no,yes,
32,"When they met on the dock by chance a lively conversation began.
","['When', 'they', 'met', 'on', 'the', 'dock', 'by', 'chance', 'a', 'lively', 'conversation', 'began', '.']","['WRB', 'PRP', 'VBD', 'IN', 'DT', 'NN', 'IN', 'NN', 'DT', 'JJ', 'NN', 'VBD', '.']",Pass,no,no,yes,
33,"On past voyages the two struck up a friendship born out of common experience.
","['On', 'past', 'voyages', 'the', 'two', 'struck', 'up', 'a', 'friendship', 'born', 'out', 'of', 'common', 'experience', '.']","['IN', 'JJ', 'NNS', 'DT', 'CD', 'VBD', 'RP', 'DT', 'NN', 'VBN', 'IN', 'IN', 'JJ', 'NN', '.']",Pass,no,no,yes,
34,"They philosophize and discuss the behavior of the tourists as observers, above the common crowd.
","['They', 'philosophize', 'and', 'discuss', 'the', 'behavior', 'of', 'the', 'tourists', 'as', 'observers', ',', 'above', 'the', 'common', 'crowd', '.']","['PRP', 'VBP', 'CC', 'VBP', 'DT', 'NN', 'IN', 'DT', 'NNS', 'IN', 'NNS', ',', 'IN', 'DT', 'JJ', 'NN', '.']",Pass,no,no,no,
35,"Both are happy to know they will have a close companion on the coming voyage.
","['Both', 'are', 'happy', 'to', 'know', 'they', 'will', 'have', 'a', 'close', 'companion', 'on', 'the', 'coming', 'voyage', '.']","['DT', 'VBP', 'JJ', 'TO', 'VB', 'PRP', 'MD', 'VB', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",Pass,no,no,yes,
36,"They will continue their close but sporadic friendship until an unforeseen calamity suddenly removes one.
","['They', 'will', 'continue', 'their', 'close', 'but', 'sporadic', 'friendship', 'until', 'an', 'unforeseen', 'calamity', 'suddenly', 'removes', 'one', '.']","['PRP', 'MD', 'VB', 'PRP$', 'NN', 'CC', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'RB', 'VBZ', 'CD', '.']",Pass,no,no,yes,
37,"Admiral Scrowlsy Gafoon is discussing with his personal bodyguard, Smugs McKingle, the plans of the coming night--the plot to sink the capitalist regime's flagship and largest destroyer by an accidental collision.
","['Admiral', 'Scrowlsy', 'Gafoon', 'is', 'discussing', 'with', 'his', 'personal', 'bodyguard', ',', 'Smugs', 'McKingle', ',', 'the', 'plans', 'of', 'the', 'coming', 'night', '--', 'the', 'plot', 'to', 'sink', 'the', 'capitalist', 'regime', ""'s"", 'flagship', 'and', 'largest', 'destroyer', 'by', 'an', 'accidental', 'collision', '.']","['NNP', 'NNP', 'NNP', 'VBZ', 'VBG', 'IN', 'PRP$', 'JJ', 'NN', ',', 'NNP', 'NNP', ',', 'DT', 'NNS', 'IN', 'DT', 'VBG', 'NN', ':', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'NN', 'POS', 'NN', 'CC', 'JJS', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']",Pass,yes,no,no,
38,"Scrowlsy Gafoon is a personal enemy of the capitalist Admiral Bones McKid and wants to get even with him for nothing at all.
","['Scrowlsy', 'Gafoon', 'is', 'a', 'personal', 'enemy', 'of', 'the', 'capitalist', 'Admiral', 'Bones', 'McKid', 'and', 'wants', 'to', 'get', 'even', 'with', 'him', 'for', 'nothing', 'at', 'all', '.']","['NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NNP', 'NNP', 'NNP', 'CC', 'VBZ', 'TO', 'VB', 'RB', 'IN', 'PRP', 'IN', 'NN', 'IN', 'DT', '.']",Pass,no,no,no,
39,"Gafoon wants a good job and wants to make sure no one in the crew squeals.
","['Gafoon', 'wants', 'a', 'good', 'job', 'and', 'wants', 'to', 'make', 'sure', 'no', 'one', 'in', 'the', 'crew', 'squeals', '.']","['NN', 'VBZ', 'DT', 'JJ', 'NN', 'CC', 'VBZ', 'TO', 'VB', 'JJ', 'DT', 'NN', 'IN', 'DT', 'NN', 'NNS', '.']",Pass,yes,yes,no,
40,"Gafoon's ship will sink.
","['Gafoon', ""'s"", 'ship', 'will', 'sink', '.']","['NNP', 'POS', 'NN', 'MD', 'VB', '.']",Removed,no,no,no,
41,"Jack the knife is being bawled out by the captain of the good ship Arkansas.
","['Jack', 'the', 'knife', 'is', 'being', 'bawled', 'out', 'by', 'the', 'captain', 'of', 'the', 'good', 'ship', 'Arkansas', '.']","['NNP', 'DT', 'NN', 'VBZ', 'VBG', 'VBN', 'RP', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NNP', '.']",Pass,yes,no,no,
42,"The captain says, No, you bastard, I won't pay a cent!
","['The', 'captain', 'says', ',', 'No', ',', 'you', 'bastard', ',', 'I', 'wo', ""n't"", 'pay', 'a', 'cent', '!']","['DT', 'NN', 'VBZ', ',', 'NNP', ',', 'PRP', 'VBP', ',', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', '.']",Pass,no,no,no,
43,"Jack (the knife) and his buddies have Irma, the captain's daughter, tied up in the cellar.
","['Jack', '(', 'the', 'knife', ')', 'and', 'his', 'buddies', 'have', 'Irma', ',', 'the', 'captain', ""'s"", 'daughter', ',', 'tied', 'up', 'in', 'the', 'cellar', '.']","['NNP', '(', 'DT', 'NN', ')', 'CC', 'PRP$', 'NNS', 'VBP', 'NNP', ',', 'DT', 'NN', 'POS', 'NN', ',', 'VBD', 'RP', 'IN', 'DT', 'NN', '.']",Pass,yes,no,no,
44,"Jack has asked for $20,000 from the captain for his daughter's release.
","['Jack', 'has', 'asked', 'for', '$', '20,000', 'from', 'the', 'captain', 'for', 'his', 'daughter', ""'s"", 'release', '.']","['NNP', 'VBZ', 'VBN', 'IN', '$', 'CD', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'POS', 'NN', '.']",Pass,no,no,no,
45,"Jack thinks the captain is foolish.
","['Jack', 'thinks', 'the', 'captain', 'is', 'foolish', '.']","['NNP', 'VBZ', 'DT', 'NN', 'VBZ', 'JJ', '.']",Pass,no,no,no,
46,"The captain doesn't care.
","['The', 'captain', 'does', ""n't"", 'care', '.']","['DT', 'NN', 'VBZ', 'RB', 'VB', '.']",Pass,no,no,no,
47,"His daughter has run away with a musician from a side-show, and her father has formally disowned her.
","['His', 'daughter', 'has', 'run', 'away', 'with', 'a', 'musician', 'from', 'a', 'side-show', ',', 'and', 'her', 'father', 'has', 'formally', 'disowned', 'her', '.']","['PRP$', 'NN', 'VBZ', 'VBN', 'RP', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'CC', 'PRP$', 'NN', 'VBZ', 'RB', 'VBN', 'PRP', '.']",Pass,yes,no,no,
48,"Irma will escape probably.
","['Irma', 'will', 'escape', 'probably', '.']","['NNP', 'MD', 'VB', 'RB', '.']",Removed,no,no,no,
49,"The people are as follows: a passenger on a passenger ship in Paris about to leave for the U.S., and a customs officer in Paris.
","['The', 'people', 'are', 'as', 'follows', ':', 'a', 'passenger', 'on', 'a', 'passenger', 'ship', 'in', 'Paris', 'about', 'to', 'leave', 'for', 'the', 'U.S.', ',', 'and', 'a', 'customs', 'officer', 'in', 'Paris', '.']","['DT', 'NNS', 'VBP', 'IN', 'VBZ', ':', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'IN', 'NNP', 'IN', 'TO', 'VB', 'IN', 'DT', 'NNP', ',', 'CC', 'DT', 'NNS', 'NN', 'IN', 'NNP', '.']",Pass,no,no,no,
50,"The passenger has just been told that he cannot take a suitcase full of bananas on board with him.
","['The', 'passenger', 'has', 'just', 'been', 'told', 'that', 'he', 'can', 'not', 'take', 'a', 'suitcase', 'full', 'of', 'bananas', 'on', 'board', 'with', 'him', '.']","['DT', 'NN', 'VBZ', 'RB', 'VBN', 'VBD', 'IN', 'PRP', 'MD', 'RB', 'VB', 'DT', 'NN', 'JJ', 'IN', 'NNS', 'IN', 'NN', 'IN', 'PRP', '.']",Pass,no,no,no,
51,"The passenger wants the bananas to take home to his pet chimpanzee, which is starving because it won't eat anything except bananas cooked in Charlie's Banana Shop in Paris.
","['The', 'passenger', 'wants', 'the', 'bananas', 'to', 'take', 'home', 'to', 'his', 'pet', 'chimpanzee', ',', 'which', 'is', 'starving', 'because', 'it', 'wo', ""n't"", 'eat', 'anything', 'except', 'bananas', 'cooked', 'in', 'Charlie', ""'s"", 'Banana', 'Shop', 'in', 'Paris', '.']","['DT', 'NN', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'NN', 'TO', 'PRP$', 'NN', 'NN', ',', 'WDT', 'VBZ', 'VBG', 'IN', 'PRP', 'MD', 'RB', 'VB', 'NN', 'IN', 'NNS', 'VBN', 'IN', 'NNP', 'POS', 'NNP', 'NNP', 'IN', 'NNP', '.']",Pass,no,no,no,
52,"The man thinks he should be allowed to do it not for himself but to be humane.
","['The', 'man', 'thinks', 'he', 'should', 'be', 'allowed', 'to', 'do', 'it', 'not', 'for', 'himself', 'but', 'to', 'be', 'humane', '.']","['DT', 'NN', 'VBZ', 'PRP', 'MD', 'VB', 'VBN', 'TO', 'VB', 'PRP', 'RB', 'IN', 'PRP', 'CC', 'TO', 'VB', 'NN', '.']",Pass,no,no,no,
53,"The officer would like to help but can't.
","['The', 'officer', 'would', 'like', 'to', 'help', 'but', 'ca', ""n't"", '.']","['DT', 'NN', 'MD', 'VB', 'TO', 'VB', 'CC', 'MD', 'RB', '.']",Pass,no,no,no,
54,"This is a sea captain talking to the president of his line.
","['This', 'is', 'a', 'sea', 'captain', 'talking', 'to', 'the', 'president', 'of', 'his', 'line', '.']","['DT', 'VBZ', 'DT', 'NN', 'NN', 'VBG', 'TO', 'DT', 'NN', 'IN', 'PRP$', 'NN', '.']",Pass,no,no,no,
55,"He is angry for reasons described below.
","['He', 'is', 'angry', 'for', 'reasons', 'described', 'below', '.']","['PRP', 'VBZ', 'JJ', 'IN', 'NNS', 'VBN', 'IN', '.']",Removed,no,no,no,
56,"The line president has forced the captain to bring his boat into port a day early.
","['The', 'line', 'president', 'has', 'forced', 'the', 'captain', 'to', 'bring', 'his', 'boat', 'into', 'port', 'a', 'day', 'early', '.']","['DT', 'NN', 'NN', 'VBZ', 'VBN', 'DT', 'NN', 'TO', 'VB', 'PRP$', 'NN', 'IN', 'NN', 'DT', 'NN', 'RB', '.']",Pass,yes,no,no,
57,"The captain is angry because he has just received a ticket for double-parking his boat and since there was no other available pier, the captain wants the president to pay the fine.
","['The', 'captain', 'is', 'angry', 'because', 'he', 'has', 'just', 'received', 'a', 'ticket', 'for', 'double-parking', 'his', 'boat', 'and', 'since', 'there', 'was', 'no', 'other', 'available', 'pier', ',', 'the', 'captain', 'wants', 'the', 'president', 'to', 'pay', 'the', 'fine', '.']","['DT', 'NN', 'VBZ', 'JJ', 'IN', 'PRP', 'VBZ', 'RB', 'VBN', 'DT', 'NN', 'IN', 'VBG', 'PRP$', 'NN', 'CC', 'IN', 'EX', 'VBD', 'DT', 'JJ', 'JJ', 'NN', ',', 'DT', 'NN', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', '.']",Pass,no,no,no,
58,"The president wants to go home.
","['The', 'president', 'wants', 'to', 'go', 'home', '.']","['DT', 'NN', 'VBZ', 'TO', 'VB', 'NN', '.']",Pass,no,no,no,
59,"The president will go home, and pay the fine.
","['The', 'president', 'will', 'go', 'home', ',', 'and', 'pay', 'the', 'fine', '.']","['DT', 'NN', 'MD', 'VB', 'NN', ',', 'CC', 'VB', 'DT', 'NN', '.']",Pass,no,no,no,
60,"The boat will be moved.
","['The', 'boat', 'will', 'be', 'moved', '.']","['DT', 'NN', 'MD', 'VB', 'VBN', '.']",Pass,no,no,no,
61,"A husband and wife have stopped during one of their Sunday promenades.
","['A', 'husband', 'and', 'wife', 'have', 'stopped', 'during', 'one', 'of', 'their', 'Sunday', 'promenades', '.']","['DT', 'NN', 'CC', 'NN', 'VBP', 'VBN', 'IN', 'CD', 'IN', 'PRP$', 'NNP', 'NNS', '.']",Pass,no,no,no,
62,"The man, smiling so casually, obviously has a great deal of love for the woman whose back we can only see.
","['The', 'man', ',', 'smiling', 'so', 'casually', ',', 'obviously', 'has', 'a', 'great', 'deal', 'of', 'love', 'for', 'the', 'woman', 'whose', 'back', 'we', 'can', 'only', 'see', '.']","['DT', 'NN', ',', 'VBG', 'RB', 'RB', ',', 'RB', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', 'WP$', 'IN', 'PRP', 'MD', 'RB', 'VB', '.']",Pass,no,no,yes,
63,"But they have known each other for years, and are not like the other couples seen sitting by the edge of the Seine.
","['But', 'they', 'have', 'known', 'each', 'other', 'for', 'years', ',', 'and', 'are', 'not', 'like', 'the', 'other', 'couples', 'seen', 'sitting', 'by', 'the', 'edge', 'of', 'the', 'Seine', '.']","['CC', 'PRP', 'VBP', 'VBN', 'DT', 'JJ', 'IN', 'NNS', ',', 'CC', 'VBP', 'RB', 'IN', 'DT', 'JJ', 'NNS', 'VBN', 'VBG', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNP', '.']",Pass,no,no,no,
64,"They don't feel that overwhelming compulsion to touch that young lovers do.
","['They', 'do', ""n't"", 'feel', 'that', 'overwhelming', 'compulsion', 'to', 'touch', 'that', 'young', 'lovers', 'do', '.']","['PRP', 'VBP', 'RB', 'VB', 'IN', 'VBG', 'NN', 'TO', 'VB', 'IN', 'JJ', 'NNS', 'VBP', '.']",Pass,no,no,no,
65,"It wasn't always like that though, as the man is now remembering.
","['It', 'was', ""n't"", 'always', 'like', 'that', 'though', ',', 'as', 'the', 'man', 'is', 'now', 'remembering', '.']","['PRP', 'VBD', 'RB', 'RB', 'IN', 'DT', 'NN', ',', 'IN', 'DT', 'NN', 'VBZ', 'RB', 'VBG', '.']",Pass,no,no,yes,
66,"Those winter days by the river, the spring days in the fields, The man and woman will continue in their life of contentment they have found.
","['Those', 'winter', 'days', 'by', 'the', 'river', ',', 'the', 'spring', 'days', 'in', 'the', 'fields', ',', 'The', 'man', 'and', 'woman', 'will', 'continue', 'in', 'their', 'life', 'of', 'contentment', 'they', 'have', 'found', '.']","['DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', ',', 'DT', 'NN', 'NNS', 'IN', 'DT', 'NNS', ',', 'DT', 'NN', 'CC', 'NN', 'MD', 'VB', 'IN', 'PRP$', 'NN', 'IN', 'NN', 'PRP', 'VBP', 'VBN', '.']",Pass,no,no,yes,
